gene,
Adamts3,"ADAM metallopeptidase with thrombospondin type 1 motif, 3"
Alkbh5,"AlkB family member 5, RNA demethylase"
Amer2,APC membrane recruitment protein 2
Arf4,ADP-ribosylation factor 4
Armcx2,"armadillo repeat containing, X-linked 2"
Atp2a2,
Brd2,bromodomain containing 2
C11orf30,chromosome 11 open reading frame 30
C1qtnf7,C1q and tumor necrosis factor related protein 7
Calm1,
Ccdc134,
Copb1,"coatomer protein complex, subunit beta 1"
Coq10a,coenzyme Q10 homolog A (S. cerevisiae)
Crem,cAMP responsive element modulator
Cyp26a1,"cytochrome P450, family 26, subfamily A, polypeptide 1"
Dennd5a,DENN/MADD domain containing 5A
Derl3,
Dhx40,DEAH (Asp-Glu-Ala-His) box polypeptide 40
Dlst,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
Dnajb11,
Dnajb2,"DnaJ (Hsp40) homolog, subfamily B, member 2"
Dnajc3,
Dusp4,dual specificity phosphatase 4
Edem1,
Egr1,early growth response 1
Egr2,early growth response 2
Egr3,early growth response 3
Eif4a1,eukaryotic translation initiation factor 4A1
Elf1,E74-like factor 1 (ets domain transcription factor)
Erc1,ELKS/RAB6-interacting/CAST family member 1
Erf,Ets2 repressor factor
Ero1b,
Etv6,ets variant 6
Far1,
Flnc,"filamin C, gamma"
Galnt3,
Gbf1,golgi brefeldin A resistant guanine nucleotide exchange factor 1
Gcc1,GRIP and coiled-coil domain containing 1
Gdnf,glial cell derived neurotrophic factor
Gfra1,GDNF family receptor alpha 1
Gng4,"guanine nucleotide binding protein (G protein), gamma 4"
Golgb1,golgin B1
Gpbp1,GC-rich promoter binding protein 1
Gria3,"glutamate receptor, ionotropic, AMPA 3"
Grin2b,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B"
Gsc,goosecoid homeobox
Hcrtr2,hypocretin (orexin) receptor 2
Herpud1,
Hox1,
Hoxb9,homeobox B9
Hyou1,
Hsp90b1,
Ica1,"islet cell autoantigen 1, 69kDa"
Il1rapl1,interleukin 1 receptor accessory protein-like 1
Irx3,iroquois homeobox 3
Josd1,Josephin domain containing 1
Jund,jun D proto-oncogene
Kcna6,"potassium channel, voltage gated shaker related subfamily A, member 6"
Kdelr1,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
Klf13,Kruppel-like factor 13
Klf9,Kruppel-like factor 9
Klhl22,kelch-like family member 22
Leng9,leukocyte receptor cluster (LRC) member 9
Lhx1,LIM homeobox 1
Lhx5,LIM homeobox 5
Lmbrd1,LMBR1 domain containing 1
Lmo4,LIM domain only 4
Lmx1b,"LIM homeobox transcription factor 1, beta"
Lrrc59,leucine rich repeat containing 59
Madd,MAP-kinase activating death domain
Manf,
Mgc11256,
Mid2,
Mrps18b,mitochondrial ribosomal protein S18B
Nans,N-acetylneuraminic acid synthase
Nkx2-2,NK2 homeobox 2
Nol4,nucleolar protein 4
Npas4,neuronal PAS domain protein 4
Nptx1,neuronal pentraxin I
Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2"
Nucb2,
Orm1,
Osbp,oxysterol binding protein
Pax1,paired box 1
Pdia4,
Per1,period circadian clock 1
Phc1,polyhomeotic homolog 1 (Drosophila)
Pitx2,paired-like homeodomain 2
Ppapdc1b,phosphatidic acid phosphatase type 2 domain containing 1B
Ppp1r10,"protein phosphatase 1, regulatory subunit 10"
Prdm12,PR domain containing 12
Ptov1,prostate tumor overexpressed 1
Rab2a,"RAB2A, member RAS oncogene family"
Rftn2,raftlin family member 2
Scyl1,SCY1-like 1 (S. cerevisiae)
Sec23a,Sec23 homolog A (S. cerevisiae)
Sec24d,SEC24 family member D
Sec62,SEC62 homolog (S. cerevisiae)
Sel1l,
Sema3b,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"
Sez6l2,seizure related 6 homolog (mouse)-like 2
Sh2d2a,SH2 domain containing 2A
Sik2,salt-inducible kinase 2
Slc22a17,"solute carrier family 22, member 17"
Slc30a5,"solute carrier family 30 (zinc transporter), member 5"
Slc35e1,"solute carrier family 35, member E1"
Slc39a13,"solute carrier family 39 (zinc transporter), member 13"
Slc39a5,"solute carrier family 39 (zinc transporter), member 5"
Srp19,signal recognition particle 19kDa
Srsf1,serine/arginine-rich splicing factor 1
Stag1,stromal antigen 1
Stat3,signal transducer and activator of transcription 3 (acute-phase response factor)
Stx5,syntaxin 5
Syncrip,"synaptotagmin binding, cytoplasmic RNA interacting protein"
Syt11,synaptotagmin XI
Syvn1,
Tbc1d2 ,"TBC1 domain family, member 23"
Tbccd1,
Tbx20,T-box 20
Tfe3,transcription factor binding to IGHM enhancer 3
Tle3,transducin-like enhancer of split 3
Tmem125,transmembrane protein 125
Tmem263,transmembrane protein 263
Tnks2,"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2"
Top1,topoisomerase (DNA) I
Tpm4,tropomyosin 4
Tpt1,"tumor protein, translationally-controlled 1"
Trim39,tripartite motif containing 39
Trpc1,"transient receptor potential cation channel, subfamily C, member 1"
Tspan13,tetraspanin 13
Twist1,twist family bHLH transcription factor 1
Tyro3,TYRO3 protein tyrosine kinase
Usp2,ubiquitin specific peptidase 2
Vcp,valosin containing protein
Wfikkn2,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"
Xpnpep1,"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble"
Ypel4,yippee-like 4 (Drosophila)
Zfhx3,zinc finger homeobox 3
Zfy,"zinc finger protein, Y-linked"
