Sex	Rep	Trt	dam
M	1	C	a
M	2	C	b
M	3	C	c
M	4	C	d
M	5	C	e
M	6	C	f
F	1	C	a	
F	2	C	b
F	3	C	c
F	4	C	d
F	5	C	e
F	6	C	f
M	1	TCE	g
M	2	TCE	h
M	3	TCE	i
M	4	TCE	j
M	5	TCE	k
M	6	TCE	l
F	1	TCE	g
F	2	TCE	h
F	3	TCE	i
F	4	TCE	j
F	5	TCE	k
F	6	TCE	l
M	1	NAC	m
M	2	NAC	n
M	3	NAC	o
M	4	NAC	p
M	5	NAC	q
M	6	NAC	r
F	1	NAC	m
F	2	NAC	n
F	3	NAC	o
F	4	NAC	p
F	5	NAC	q
F	6	NAC	r
M	1	TCE_NAC	s
M	2	TCE_NAC	t
M	3	TCE_NAC	u
M	4	TCE_NAC	v
M	5	TCE_NAC	w
M	6	TCE_NAC	x
F	1	TCE_NAC	s
F	2	TCE_NAC	t
F	3	TCE_NAC	u
F	4	TCE_NAC	v
F	5	TCE_NAC	w
F	6	TCE_NAC	x
