Geneid,Overlap,Allatf4
Aars,Common,atf4
Abcc4,Common,atf4
Acaa1a,Common,atf4
Acaca,ATF4_Only,atf4
Acad8,ATF4_Only,atf4
Acot2,Common,atf4
Adm2,ATF4_Only,atf4
Aff1,Common,atf4
Agap1,Common,atf4
Akap2,ATF4_Only,atf4
Akna,Common,atf4
Aldh18a1,Common,atf4
Aldh1l2,Common,atf4
Alkbh5,ATF4_Only,atf4
Anapc1,ATF4_Only,atf4
Angptl4,ATF4_Only,atf4
Ankrd1,Common,atf4
Ankrd11,ATF4_Only,atf4
Anp32b,ATF4_Only,atf4
Apbb2,ATF4_Only,atf4
Arhgef2,Common,atf4
Arid5b,ATF4_Only,atf4
Arpc5l,ATF4_Only,atf4
Ascc2,Common,atf4
Asns,ATF4_Only,atf4
Atf3,Common,atf4
Atf5,Common,atf4
Atf6,Common,atf4
Atl2,ATF4_Only,atf4
Atp6v1g1,ATF4_Only,atf4
Atxn2l,ATF4_Only,atf4
B230120h23rik,Common,atf4
B230217c12rik,ATF4_Only,atf4
B230315n10rik,ATF4_Only,atf4
B9d2,ATF4_Only,atf4
Bb014433,ATF4_Only,atf4
Bc019943,ATF4_Only,atf4
Bc055111,ATF4_Only,atf4
Bcar1,ATF4_Only,atf4
Bcat1,ATF4_Only,atf4
Bcat2,Common,atf4
Bcmo1,ATF4_Only,atf4
Bdnf,Common,atf4
Bnip1,ATF4_Only,atf4
Bola1,ATF4_Only,atf4
Btf3l4,Common,atf4
C130039o16rik,ATF4_Only,atf4
Camsap1,Common,atf4
Cars,ATF4_Only,atf4
Casc5,ATF4_Only,atf4
Casp4,ATF4_Only,atf4
Cast,ATF4_Only,atf4
Ccl2,ATF4_Only,atf4
Cdh24,Common,atf4
Cebpg,Common,atf4
Chac1,ATF4_Only,atf4
Clcn3,Common,atf4
Cln5,ATF4_Only,atf4
Cnot1,Common,atf4
Cnpy2,Common,atf4
Coasy,Common,atf4
Col18a1,ATF4_Only,atf4
Crispld2,ATF4_Only,atf4
Crls1,ATF4_Only,atf4
Crybg3,ATF4_Only,atf4
Cth,ATF4_Only,atf4
Cul2,ATF4_Only,atf4
Cxcl3,ATF4_Only,atf4
Cyb5r1,Common,atf4
Cyp2ab1,Common,atf4
D4bwg0951e,Common,atf4
Daam1,ATF4_Only,atf4
Ddit3,Common,atf4
Ddit4,ATF4_Only,atf4
Ddr2,Common,atf4
Deb1,Common,atf4
Dhrs7,ATF4_Only,atf4
Dhx57,ATF4_Only,atf4
Dnaja3,Common,atf4
Dnajb12,ATF4_Only,atf4
Dpf2,Common,atf4
Dpysl2,ATF4_Only,atf4
Dtnbp1,ATF4_Only,atf4
Dusp6,Common,atf4
Dut,Common,atf4
Dysf,Common,atf4
Echs1,ATF4_Only,atf4
Edem3,Common,atf4
Eif1,ATF4_Only,atf4
Eif2s2,Common,atf4
Eif4ebp1,ATF4_Only,atf4
Eif4g2,Common,atf4
Eif5,Common,atf4
Emilin1,Common,atf4
Eprs,Common,atf4
Erlin1,Common,atf4
Ero1l,Common,atf4
Etf1,ATF4_Only,atf4
Ets1,Common,atf4
F3,ATF4_Only,atf4
Fads3,Common,atf4
Fam119a,ATF4_Only,atf4
Fam129a,Common,atf4
Fam159a,Common,atf4
Fam175a,Common,atf4
Fam175b,ATF4_Only,atf4
Fam188b,ATF4_Only,atf4
Fam26f,ATF4_Only,atf4
Fam96a,Common,atf4
Fbxl2,ATF4_Only,atf4
Fbxo11,ATF4_Only,atf4
Fbxo31,ATF4_Only,atf4
Flad1,ATF4_Only,atf4
Flnc,Common,atf4
Flrt1,Common,atf4
Gars,Common,atf4
Gcfc1,ATF4_Only,atf4
Ghitm,Common,atf4
Gm129,ATF4_Only,atf4
Gm5627,ATF4_Only,atf4
Gm5820,ATF4_Only,atf4
Gng5,Common,atf4
Gnpnat1,Common,atf4
Golim4,Common,atf4
Got1,ATF4_Only,atf4
Gpam,ATF4_Only,atf4
Gpatch3,Common,atf4
Gpt2,Common,atf4
Gpx4,Common,atf4
Grb10,ATF4_Only,atf4
Gsk3a,ATF4_Only,atf4
Gsto1,ATF4_Only,atf4
Gtpbp2,Common,atf4
Gtpbp4,ATF4_Only,atf4
H2afz,ATF4_Only,atf4
H2-Q7,ATF4_Only,atf4
Hax1,ATF4_Only,atf4
Hdac8,Common,atf4
Herpud1,ATF4_Only,atf4
Hfe,Common,atf4
Hist2h4,Common,atf4
Hmox1,ATF4_Only,atf4
Hspa5,Common,atf4
Htatip2,ATF4_Only,atf4
Htra1,Common,atf4
Iars,Common,atf4
Ick,Common,atf4
Ier2,ATF4_Only,atf4
Ifitm6,ATF4_Only,atf4
Ift172,Common,atf4
Il1r1,ATF4_Only,atf4
Incenp,Common,atf4
Inpp4b,ATF4_Only,atf4
Inpp5b,ATF4_Only,atf4
Ip6k2,ATF4_Only,atf4
Ipmk,ATF4_Only,atf4
Itgb5,Common,atf4
Jagn1,ATF4_Only,atf4
Jdp2,ATF4_Only,atf4
Jhdm1d,Common,atf4
Kbtbd5,Common,atf4
Kdm5a,ATF4_Only,atf4
Kdm6b,Common,atf4
Khnyn,ATF4_Only,atf4
Kif13b,Common,atf4
Kifc1,Common,atf4
Klf15,ATF4_Only,atf4
Klhdc10,ATF4_Only,atf4
Krtcap2,Common,atf4
Lars,Common,atf4
Leprel1,ATF4_Only,atf4
Leprotl1,Common,atf4
Lgals3,Common,atf4
Lgals8,ATF4_Only,atf4
