TCE_F,TCE_NAC_F,NAC_F,TCE_M,TCE_NAC_M,NAC_M
-1.543932254,-2.165812381,-0.403326927,4.101807055,-6.218732592,-2.251924249
-0.459358705,-6.214356896,-4.865184716,0.142486732,-1.360252803,1.987860743
-1.944775261,-2.330359889,-1.033634135,-0.461263777,0.378212241,-0.127408966
1.790275632,-0.018716897,1.577183665,-0.167623718,0.992787719,0.387988394
0.851991375,-3.593355633,-1.782731474,1.12862611,-2.788390818,-2.076415113
2.782784603,7.072700999,2.499717378,6.39117959,7.009936986,5.193261113
-0.573010449,-0.541626164,0.163900984,-3.183339115,-1.383520673,-1.638799264
-1.606506175,-1.402321408,-0.313156272,0.80729412,0.415747047,-0.015130475
0.574311052,-2.626307842,-2.13133889,2.45517423,-7.314444349,-4.004035409
1.346853768,0.977801439,-1.160776191,2.248416893,3.860811649,0.807303906
0.673098292,-3.139117646,-1.929711057,0.060377737,-2.212867411,-3.309705343
0.538776148,-3.620266548,-1.985394854,0.378026592,-1.711015484,-2.802721516
-0.842995969,-1.53688934,-1.914440867,-1.746309866,-1.37404629,-0.775283904
1.716225916,2.255997982,0.469960261,0.767366294,3.27656705,1.749941172
-0.725626745,-4.715960433,-4.46258508,2.367864747,-0.019432538,-1.328809484
1.665252655,2.015179375,-0.521177536,3.422362474,3.745998986,0.730718214
2.192452818,1.948593037,0.976583627,-0.645345737,0.146352415,-2.376477155
-0.484578936,-2.119976847,-1.896049698,1.83611049,-2.962924842,-3.14845173
2.15864244,2.609542257,2.579670807,2.155234431,1.572407782,1.557075552
1.568013331,0.687244655,0.256711157,-2.005547351,-2.266001225,-0.433065052
1.277358537,-1.894496463,-1.648434403,-1.660151363,0.641391678,1.221178609
-0.009388299,-3.022341657,-0.807998037,4.563713051,-7.77054441,-0.786433988
-0.659065732,-2.84245426,-4.595786724,1.321675544,-2.069501909,-0.495738746
4.638772745,-0.977212621,1.683675546,2.185700909,2.343970134,7.109825946
-0.122026359,-5.635094983,2.056388925,-0.053081763,2.73204342,1.192319013
3.844765234,3.767957142,0.463861475,3.525383326,5.39589525,3.585240602
-1.42300907,-1.180514203,-0.55588759,-1.922757564,-0.435998205,0.989242399
1.981439966,2.135411147,0.032566896,3.215212736,4.581726265,3.160823544
1.845487204,2.406463643,0.743344658,3.490809618,4.416981424,3.162394079
1.947509962,2.553344585,1.487443949,2.159439812,2.893443665,2.182091286
-1.138540567,-6.213265184,-4.60708963,2.882391763,-2.611529384,2.834825711
-0.266260707,-3.606022338,-2.492872429,2.762400339,-0.405301853,1.887227219
0.5042332,-3.146661348,-2.325426904,1.377940535,0.083664131,0.878847422
-0.274815328,-1.75376229,-2.303056953,-0.052676525,1.517337337,1.363911974
2.472423234,1.429204309,0.331134783,1.663651342,2.657164841,-0.048589028
2.346619384,1.355035856,1.143697626,0.655196083,1.203206051,0.482905129
0.867340647,1.970762495,1.481985839,0.185692767,1.177669756,0.573592341
0.701549585,-3.786396289,-2.357766133,7.40640309,-1.120296946,2.233124544
-0.204047928,-0.059243822,-0.368348402,2.642882625,0.983796585,2.429148931
1.130006382,2.350593269,-1.093955408,2.124280089,3.141214586,-0.254495664
0.402914128,-3.790650292,-2.213134494,1.015435789,-2.011266217,-1.76682692
0.331373617,-3.81894848,-2.291308472,-0.036199419,-1.004389469,-2.506094507
0.769279912,1.874003567,-0.76000227,3.105300473,2.033171858,1.402613002
0.476818247,-4.146091387,-1.829188042,0.706492394,-1.160944898,-1.602224533
1.335268594,1.813196809,0.307396022,3.629268179,3.244721364,2.035221461
-1.872217568,-0.407837994,-1.68141808,-0.493387573,0.640740971,0.470552315
-0.469707943,-4.775244596,-3.012536424,-0.335294695,-1.076706038,-3.52186465
0.035586762,-4.51487865,-2.368392812,4.541400315,-4.238223275,0.448318735
-1.056103615,-3.86601213,-1.912535525,1.951795131,-6.193269246,-1.800006165
